동물보호센터명,관리기관명,동물보호센터유형,구조대상동물,소재지도로명주소,소재지지번주소,위도,경도,동물보호센터지정일자,평일운영시작시각,평일운영종료시각,평일분양시작시각,평일분양종료시각,주말운영시작시각,주말운영종료시각,주말분양시작시각,주말분양종료시각,휴무일,수의사인원수,사양관리사인원수,진료실수,사육실수,격리실수,사료보관실수,구조운반용차량보유대수,전화번호,데이터기준일자,제공기관코드,제공기관명,
구미유기동물보호소,경상북도 구미시청,단체,개+고양이+애완동물,경상북도 구미시 해평면 숭선로 309-11,경상북도 구미시 해평면 해평리 448-5,36.19478184,128.3762696,2015-01-01,00:00,24:00,09:00,18:00,00:00,24:00,09:00,18:00,0,1,2,0,3,1,1,2,054-441-4100,2018-06-30,5080000,경상북도 구미시,
누리동물병원,부산광역시 수영구청,동물병원,"개, 고양이 등 야생동물이 아닌 유기동물",부산광역시 해운대구 해운대로 1252,부산광역시 해운대구 송정동 81-5,35.196783,129.206121,2017-01-01,12:00,12:00,13:00,17:00,12:00,12:00,,,연중무휴,2,5,1,9,1,1,3,051-701-7599,2018-04-25,3380000,부산광역시 수영구,
당진시동물보호소,충청남도 당진시농업기술센터,개인,"개, 고양이",충청남도 당진시 고대면 연동로 30-6,충청남도 당진시 고대면 진관리 718-1,36.934202,126.596254,2019-01-01,09:00,18:00,09:00,18:00,,,,,없음,1,3,1,5,1,1,1,041-356-8210,2019-06-01,5680000,충청남도 당진시,
의령군 유기동물 임시보호소,농업기술센터,개인,유기동물(개),경상남도 의령군 용덕면 덕암로6길 64-14,경상남도 의령군 용덕면 가락리 375,35.3409103,128.266661,2019-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,1,1,0,,,,,055-570-4202,2019-07-08,5390000,경상남도 의령군,
누리동물보호센터,금정구청,동물병원,유기유실동물 및 피학대동물,부산광역시 해운대구 해운대로 1252(송정동),부산광역시 해운대구 송정동 81-5,35.19653562,129.2060944,2016-12-13,09:00,18:00,09:00,18:00,00:00,00:00,,,구조보호활동 휴무 없음(사무실은 주말 휴무),2,2,1,5,1,1,2,051-701-7599,2019-03-21,3350000,부산광역시 금정구,
최상오동물병원,보은군,동물병원,"개,고양이 등 유기동물",충청북도 보은군 보은읍 보은로 119-1,충청북도 보은군 보은읍 삼산리 149-3,36.486005,127.718778,2015-10-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,1,1,1,10,1,1,1,043-543-0753,2018-08-09,4420000,충청북도 보은군,
진천동물병원,충청북도 진천군청,동물병원,개+고양이,충청북도 진천군 진천읍 문화6안길 14-1,충청북도 진천군 진천읍 벽암리 133,36.862278,127.436167,2017-01-01,09:00,18:00,09:00,18:00,,,,,매주 토요일 일요일,1,1,1,2,1,1,2,043-533-7212,2019-06-13,4450000,충청북도 진천군,
양양군유기동물보호소,강원도 양양군청,법인,개,강원도 양양군 손양면 동해대로 2558,강원도 양양군 손양면 송현리 278,38.0750765,128.6339979,2008-11-27,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,토요일+일요일+공휴일,0,2,0,1,0,1,1,033-670-2869,2019-06-30,4350000,강원도 양양군,
(사)유기동물 및 동물보호 관리협회,강서구청,법인,"개,고양이,기타",부산광역시 강서구 가락대로 1283번길 25-2(봉림동),,35.178947,128.899747,2017-01-01,06:00,17:00,,,,,,,일요일,1,5,,,,,,051-971-6208,2019-04-30,3360000,부산광역시 강서구,
유기동물보호센터,울릉군,법인,유기견,경상북도 울릉군 울릉읍 신리길 68,경상북도 울릉군 울릉읍 사동리714-2,37.468136,130.877469,2018-01-01,09:00,18:00,09:00,18:00,,,,,"공휴일, 국경일",3,1,0,3,1,1,1,054-790-6466,2018-08-17,5260000,경상북도 울릉군,
목포시유기동물보호소,전라남도 목포시,개인,개+고양이,전라남도 무안군 삼향읍 석매길 36,전라남도 무안군 삼향읍 왕산리 197,34.8534703411,126.4314952801,2017-07-01,09:00,18:00,15:00,16:00,09:00,18:00,15:00,16:00,연중무휴,0,1,,2,1,1,1,061-270-8693,2019-06-27,4800000,전라남도 목포시,
인천수의사협회,인천광역시 미추홀구청,법인,개,인천광역시 계양구 다남로165번길56(다남동),인천광역시 계양구 다남동35-8,37.5661963,126.7174415,2017-01-01,09:00,18:00,13:30,17:00,09:00,13:00,00:00,00:00,연중무휴,1,6,1,3,1,1,1,032-515-7567,2018-09-03,3510500,인천광역시 미추홀구,
서구동물보호센터,대구광역시 서구청,단체,개+고양이+기타동물,대구광역시 북구 호국로 229,대구광역시 북구 서변동 1783-3,35.922347,128.599041,2013-01-01,09:00,18:00,09:30,18:30,09:30,16:00,09:30,16:00,공휴일,5,5,5,5,5,5,1,053-764-3708,2019-06-10,3430000,대구광역시 서구,
한사랑동물병원,전라북도 고창군,동물병원,"개,고양이",전라북도 고창군 고창읍 보릿골로138,전라북도 고창군 읍내리 681-69,35.437929,126.695974,2010-10-01,09:00,19:00,09:00,19:00,09:00,12:00,09:00,12:00,일요일,1,1,,9,9,1,1,063-562-9154,2019-06-20,4780000,전라북도 고창군,
한국야생동물보호협회,경기도 시흥시청,법인,반려동물,경기도 안산시 상록구 청곡길 50,경기도 안산시 상록구 부곡동 231-5,37.34026022,126.8700077,2017-01-02,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,2,1,1,1,1,1,031-296-0124,2019-05-23,4010000,경기도 시흥시,
우남동물병원,장성군,동물병원,"개,고양이",전라남도 장성군 장성읍 청운길 19-1,전라남도 장성군 장성읍 영천리 1273-88,35.301425,126.7810150,2014-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,"명절,휴가 등",1,0,1,5,1,1,1,061-393-9776,2018-08-10,4980000,전라남도 장성군,
한국동물구조관리협회,중랑구,법인,"개, 고양이, 토끼, 패럿, 기니피그, 햄스터",경기도 양주시 남면 감악산로 63-37,,37.8700725,126.9832252,2017-03-01,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,연중무휴,1,14,,,,,1,031-867-9119,2019-05-15,3060000,서울특별시 중랑구,
(사)한국동물구조관리협회,서초구청 지역경제과,법인,"개,고양이,기타",경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.8700725,126.9832252,2017-03-01,09:00,23:00,09:00,23:00,09:00,17:00,09:00,17:00,법정공휴일,1,6,1,6,1,1,7,031-867-9119,2019-12-04,3210000,서울특별시 서초구,
서초동물사랑센터,서초구청 지역경제과,법인,개,서울특별시 서초구  양재천로19길 22 (양재동),서울특별시 서초구 양재동 125 - 4,37.4763321,127.0381241,2019-12-04,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,"매주월요일, 법정공휴일(일요일제외)",0,5,0,1,1,1,0,02-6956-7980,2019-12-04,3210000,서울특별시 서초구,
백호동물병원,경상남도 고성군청,동물병원,개+고양이,경상남도 고성군 고성읍 중앙로15번길 62,경상남도 고성군 고성읍 서외리 253-23,34.977085,128.3223942,2017-01-01,09:00,18:00,09:00,18:00,,,,,매주 토요일 일요일,1,1,1,1,1,1,1,055-673-7194,2019-06-21,5420000,경상남도 고성군,
부산동물보호센터,부산광역시 중구,단체,"유실,유기, 피학대 동물",부산광역시 강서구 군라2길 206(대저2동),부산광역시 강서구 대저2동 5443-14,35.134758,128.928206,2018-11-01,09:00,18:00,12:00,17:00,12:00,17:00,10:00,13:00,일요일,1,2,1,7,1,1,3,051-832-7119,2019-04-30,3250000,부산광역시 중구,
하나동물병원,전라북도 남원시,동물병원,"개, 고양이",전라북도 남원시 남문로 403 (왕정동),전라북도 남원시 남문로403,35.4066270,127.3755353,2006-01-10,09:00,18:00,09:00,18:00,09:00,15:00,09:00,15:00,일요일,1,1,1,0,12,1,1,063-634-7582,2019-05-24,4700000,전라북도 남원시,
청원동물병원,전라북도 남원시,동물병원,"개, 고양이",전라북도 남원시 용성로 150-1(죽항동),전라북도 남원시 용성로95,35.4120944,127.3917314,2006-01-10,09:00,18:00,09:00,18:00,09:00,15:00,09:00,15:00,일요일,1,1,1,0,9,1,1,063-633-3533,2019-05-24,4700000,전라북도 남원시,
(사)동물구조관리협회,서울특별시 송파구청,법인,고통을 느낄 수 있는 척추동물+도심에서 자생하는 길고양이는 제외,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.8700725,126.9832252,2015-03-04,00:00,24:00,09:00,18:00,09:00,24:00,,,연중무휴,1,4,1,6,1,1,7,031-867-9119,2019-05-31,3230000,서울특별시 송파구,
오산시수의사회,오산시청,동물병원,개+고양이,경기도 오산시 성호대로 36,경기도 오산시 오산동 609-55,37.1490510,127.065149,2016-01-01,09:00,18:00,09:00,18:00,,,,,주말+공휴일,1,1,1,1,1,1,1,031-372-9325,2019-08-16,4000000,경기도 오산시,
스타동물병원,경기도 하남시청,동물병원,개+고양이+등,경기도 남양주시 별내2로 64,경기도 남양주시 별내동 1008번지 센타프라자 202호,37.6465136,127.1248094,2017-09-27,09:00,18:00,,,,,,,일요일,2,1,,,,,,031-528-8575,2019-04-01,4040000,경기도 하남시,
하남동물병원,경기도 하남시청,동물병원,개+고양이+등,경기도 하남시 신평로 37,경기도 하남시 덕풍동 420-35번지,37.5371145,127.204029,2017-11-01,10:00,19:00,,,,,,,일요일,1,3,,,,,,031-793-7802,2019-04-01,4040000,경기도 하남시,
금정동물병원,군포시,동물병원,개(유기견)+고양이(다치거나 3개월령전의 새끼고양이),경기도 군포시 금산로 100 (산본동),경기도 군포시 산본동 213-9,37.370857,126.936744,2018-01-02,09:30,19:00,10:00,19:00,09:30,17:00,10:00,17:00,일요일,1,0,,,,,,031-394-2259,2019-05-21,4020000,경기도 군포시,
(사)유기동물 및 동물보호 관리협회,부산광역시 사상구청,단체,개+고양이+기타,부산광역시 강서구 가락대로1283번길 25-2(봉림동),부산광역시 강서구 봉림동 147-28,35.178959,128.899767,2015-02-05,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,탄력운영,1,1,1,1,1,1,1,051-971-6208,2019-03-21,3390000,부산광역시 사상구,
횡성유기동물보호센터,횡성군청,단체,"개, 고양이",강원도 원주시 호저면 칠봉로 110-6,강원도 원주시 호저면 주산리 산87-5,37.4160512,127.9118201,2016-04-20,07:00,18:00,,,,,,,연중무휴,0,3,,1,1,1,,033-731-1119,2019-06-30,4260000,강원도 횡성군,
가평군 유기동물 보호소,경기도 가평군청,동물병원,개+고양이,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100,37.845891,127.497781,2014-01-01,09:00,18:00,09:00,18:00,,,,,토요일+일요일,1,1,1,1,1,2,1,031-580-4794,2019-04-26,4160000,경기도 가평군,
사랑동물병원,울산광역시 남구청,동물병원,개+고양이+기타,울산광역시 남구 중앙로165-1(신정동),울산광역시 남구 신정동 657-1,35.5358345,129.313478,2018-01-08,09:30,19:00,09:30,19:00,09:30,17:00,09:30,17:00,매주 일요일,1,2,1,1,1,1,0,052-273-0075,2019-05-28,3700000,울산광역시 남구,
미래펫동물병원,울산광역시 남구청,동물병원,개+고양이+기타,울산광역시 남구 중앙로 218-1(신정동),울산광역시 남구 신정동 186-9,35.540423,129.3123146,2018-01-08,10:00,18:00,10:00,18:00,10:00,17:00,10:00,17:00,매주 일요일,1,1,1,1,1,1,0,052-273-5911,2019-05-28,3700000,울산광역시 남구,
남산동물병원,울산광역시 남구청,동물병원,개+고양이+기타,울산광역시 남구 북부순환도로 40(무거동),울산광역시 남구 무거동 1434-3,35.5519099,129.2680385,2018-01-08,09:30,19:00,09:30,19:00,09:30,18:00,09:30,18:00,매주 일요일,1,1,1,1,1,1,0,052-211-4113,2019-05-28,3700000,울산광역시 남구,
스마일동물병원,울산광역시 남구청,동물병원,개+고양이+기타,울산광역시 남구 대학로112(무거동),울산광역시 남구 무거동 617-3,35.5446881,129.2609529,2018-01-08,09:30,19:00,09:30,19:00,09:30,17:00,09:30,17:00,매주 일요일,1,1,1,1,1,1,0,052-277-0075,2019-05-28,3700000,울산광역시 남구,
리틀쥬동물병원,울산광역시 남구청,동물병원,개+고양이+기타,울산광역시 남구 봉월로 104(신정동),울산광역시 남구 신정동 576-18,35.5417375,129.3063126,2018-01-08,09:00,19:00,09:00,19:00,09:30,17:00,09:30,17:00,매주 일요일,2,1,2,1,1,1,0,052-268-8884,2019-05-28,3700000,울산광역시 남구,
강남동물병원,울산광역시 남구청,동물병원,개+고양이+기타,울산광역시 남구 돋질로 232(삼산동),울산광역시 남구 달동 1328-3,35.5426056716,129.3304758807,2018-01-08,09:30,19:00,09:30,19:00,09:30,18:00,09:30,18:00,매주 일요일,1,1,1,1,1,1,0,052-267-0025,2019-05-28,3700000,울산광역시 남구,
울산유기동물보호센터,울산광역시 남구청,단체,개+고양이+기타,울산광역시 울주군 온양읍 화산발리로 543(온양읍),울산광역시 울주군 온양읍 발리 1144,35.3911384,129.2859116,2018-01-08,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,0,5,1,12,1,1,2,052-238-6113,2019-05-28,3700000,울산광역시 남구,
한국동물구조관리협회,경기도 양주시청,법인,개+고양이+야생동물,경기도 양주시 감악산로63-37,,37.8700725,126.9832252,2017-03-01,09:00,18:00,,,,,,,공휴일+일요일,1,8,,,,,,031-867-9119,2019-06-03,3030000,서울특별시 성동구,
익산시 유기동물보호소,익산시청 축산과,법인,개+고양이,전라북도 익산시 서동로 42길 77,,35.936823,127.002345,2018-01-03,09:00,18:00,,,,,,,연중무휴,0,2,,,,,,000-0000-0000,2019-06-24,4680000,전라북도 익산시,
영월군위탁관리보호소,강원도 영월군청,개인,개+고양이,강원도 영월군 영월읍 봉래산로 546-32,,37.223941,128.466159,2018-01-01,09:00,18:00,,,,,,,토요일+일요일+공휴일,0,0,,,,,,033-370-1613,2018-08-26,4270000,강원도 영월군,
의성동물보호센터,경상북도 의성군청,동물병원,개,,경상북도 의성군 의성읍 치선리 340,36.329331,128.732923,2019-01-01,09:00,18:00,09:00,18:00,,,,,매주 토요일 일요일 및 공휴일,0,1,1,1,1,1,1,000-0000-0000,2019-01-31,5150000,경상북도 의성군,
위더스동물보호센터,이천시청,동물병원,"유기동물(개, 고양이 등)",경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4,37.297329,127.575857,2019-01-18,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,"주말(토,일), 공휴일",1,2,1,1,1,1,1,031-882-4381,2019-07-17,4070000,경기도 이천시,
임시동물보호소,충청남도 보령시농업기술센터,개인,"개, 고양이, 염소",충청남도 보령시 녹문3길 7,충청남도 보령시 내항동 139-3,36.3325806,126.5882243,2012-01-01,09:00,18:00,09:00,18:00,,,,,없음,1,1,1,2,1,1,1,041-930-7909,2019-06-26,4510000,충청남도 보령시,
연합동물병원,전라북도 완주군청,동물병원,개+기타,전라북도 완주군 용진읍 완주로 179,전라북도 완주군 용진읍 상운리 74-2,35.8811138,127.1555652,2015-01-01,09:00,18:00,,,,,,,탄력운영,1,1,1,1,1,1,1,063-245-7588,2019-05-01,4720000,전라북도 완주군,
한국동물구조관리협회,서울특별시 광진구청,법인,유실동물,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,36.739808,126.912685,2017-01-13,09:00,18:00,09:00,18:00,09:00,18:00,,,일요일+공휴일,1,7,1,6,1,1,7,031-867-9119,2019-02-20,3040000,서울특별시 광진구,
거제시유기동물보호소,경상남도 거제시,법인,유기동물,경상남도 거제시 사등면 두동로1길 109,경상남도 거제시 사등면 사곡리 375-1,34.883769299,128.573667748,2008-03-10,09:00,18:00,14:00,17:00,09:00,18:00,14:00,17:00,연중무휴,0,4,0,12,2,,,055-639-6366,2019-08-19,5370000,경상남도 거제시,
충주시 반려동물보호센터,충주시 축산과,단체,개+고양이+기타,충청북도 충주시 중앙탑면 일곱실길 70,충청북도 충주시 중앙탑면 용전리 산7-32,37.00824686,127.849822,2018-07-01,09:00,18:00,13:00,18:00,09:00,13:00,09:00,13:00,연중무휴,1,4,1,1,1,1,1,043-851-3168,2019-04-30,4390000,충청북도 충주시,
홍천군유기동물보호소,홍천군청 축산과,법인,개+고양이,강원도 홍천군 화촌면 둔덕이길 68,,37.754971,127.947423,2014-05-21,00:00,24:00,,,,,,,연중무휴,0,3,,,,1,1,033-434-9435,2018-08-27,4250000,강원도 홍천군,
바둑이마을,평창군청,법인,개,강원도 평창군 진부면 청송로 61,강원도 평창군 진부면 청송로 61,37.6367651,128.5530776,2014-07-24,09:00,18:00,,,,,,,공휴일,0,1,,1,1,,,033-335-5559,2019-06-10,4280000,강원도 평창군,
부산동물보호센터,부산광역시 서구청,개인,개+고양이+기타,부산광역시 강서구 군라2길 206 (대저2동),,35.13456442,128.9282297,2015-03-01,09:00,18:00,,,,,,,일요일,1,1,,,,,,051-832-7119,2019-05-10,3260000,부산광역시 서구,
구례보호소,구례군청,개인,개+고양이,전라남도 구례군 문척면 구성1길 74-20,전라남도 구례군 문척면 월전리 1517-3,35.1976543,127.4835919,2018-01-01,09:00,18:00,,,,,,,연중무휴,1,0,,1,1,,0,061-000-0000,2019-06-26,4870000,전라남도 구례군,
사단법인 한국동물구조관리협회,양주시청,법인,개+고양이+기타동물,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1번지,37.870053,126.983186,2018-03-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,7,2,8,2,1,5,031-867-9119,2019-05-13,5590000,경기도 양주시,
동물구조관리협회,서울특별시 노원구청,법인,유기동물,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.870073,126.983225,2017-03-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,5,1,5,1,2,7,031-868-2851,2018-10-16,3100000,서울특별시 노원구,
대전광역시 동물보호센터,대전광역시,법인,개+고양이+토끼+햄스터+등,대전광역시 유성구 갑동로15번길 20-39,대전광역시 유성구 갑동 327-56,36.363193,127.286821,2011-01-01,10:00,18:00,13:00,16:00,10:00,18:00,13:00,16:00,연중무휴,1,7,,,,,,042-825-1118,2018-08-30,6300000,대전광역시,
춘천시동물보호센터,춘천시 동물보호센터,단체,유기동물(자생하는 길고양이 제외)단 다친 고양이나어미잃은 새끼고양이는구조대상에 포함,강원도 춘천시 신샘밭로 213,강원도 춘천시 신동 1206-13,37.9225238,127.7344416,2013-01-14,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,"토요일, 일요일 및 법정공휴일",1,3,1,7,6,1,1,033-250-4773,2019-08-01,4180000,강원도 춘천시,
산청동물보호센터,산청동물보호수의사,법인,개+고양이,경상남도 산청군 산청읍 모고리 1349,경상남도 산청군 산청읍 모고리 1349,35.426150,127.881065,2010-10-11,10:00,14:00,10:00,14:00,,,,,연중무휴,2,1,1,2,1,1,0,055-970-7842,2019-08-16,5450000,경상남도 산청군,
청조동물병원,연제구청,동물병원,유기동물,부산광역시 연제구 온천천남로 4(연산동),부산광역시 연제구 연산동 300-3,35.1929568,129.0912906,2017-01-01,00:00,23:59,10:00,17:00,00:00,23:59,00:00,00:00,연중무휴,1,1,1,50,20,1,1,051-503-0688,2019-05-16,3370000,부산광역시 연제구,
함안군동물보호소,함안군,단체,개,경상남도 함안군 가야읍 함안대로 755,경상남도 함안군 가야읍 말산리 684-513,35.293573,128.397887,2011-10-01,09:00,18:00,09:00,18:00,09:00,18:00,,,없음,0,1,1,2,1,1,0,055-580-4462,2018-12-18,5400000,경상남도 함안군,
화순군동물보호센터,화순군청,개인,"개, 고양이",전라남도 화순군 화순읍 한고을길42,전라남도 화순군 화순읍 대리356,35.053791,126.9732498,2003-01-01,09:00,18:00,09:00,18:00,,,,,연중무휴,0,0,,,1,,1,061-379-3655,2019-06-25,4900000,전라남도 화순군,
순천시 유기동물임시보호소,순천시,단체,개,전라남도 순천시 승주읍 승주로 628,전라남도 순천시 승주읍 서평리 555,35.0158732,127.3791655,2017-01-01,09:00,18:00,10:00,17:00,10:00,16:00,10:00,16:00,N,0,4,0,0,2,1,1,061-749-3094,2019-06-26,4820000,전라남도 순천시,
어울림 보호센터,순천시,단체,"개,고양이",전라남도 순천시 민속마을길 978,전라남도 순천시 상사면 쌍지리 396,34.9269297241,127.409966045,2017-01-01,10:00,18:00,10:00,17:00,10:00,16:00,10:00,16:00,주말,0,2,0,0,3,1,1,000-000-0000,2019-06-26,4820000,전라남도 순천시,
위더스동물메디컬센터 부설 동물보호센터,여주시,동물병원,개+고양이,경기도 여주시 능서공원길 34,,37.29723784,127.5759443,2019-01-07,09:00,18:00,09:00,18:00,,,,,토+일,1,2,1,2,1,1,1,031-882-4381,2019-03-29,5700000,경기도 여주시,
울산유기동물보호센터,울산광역시 울주군청,개인,개+고양이+기타,울산광역시 울주군 온양읍 화산발리로 543,울산광역시 울주군 온양읍 발리 1144,35.3911384,129.2859116,2017-12-29,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,0,5,1,12,1,1,2,052-238-6113,2019-08-13,3730000,울산광역시 울주군,
와우동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,울산광역시 울주군 언양읍 읍성로 135,울산광역시 울주군 언양읍 동부리 370-15,35.5702722,129.1230926,2017-12-29,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,0,1,1,1,1,0,052-225-0075,2019-08-13,3730000,울산광역시 울주군,
범서조은동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,울산광역시 울주군 범서읍 천상중앙길 49,울산광역시 울주군 범서읍 천상리 371-2,35.563515,129.231009,2017-12-29,09:00,18:00,09:00,18:00,10:00,16:00,10:00,16:00,공휴일,1,5,1,1,1,1,0,052-248-7582,2019-08-13,3730000,울산광역시 울주군,
초록동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,울산광역시 울주군 삼남면 상평강변길 3,울산광역시 울주군 삼남면 교동리 1499-264,35.5625232,129.121373,2017-12-29,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,3,1,1,1,1,0,052-262-6114,2019-08-13,3730000,울산광역시 울주군,
