시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,제공기관코드,제공기관명,
창동신창시장,상설장,서울특별시 도봉구 덕릉로57길 17,서울특별시 도봉구 창동 578-47,매일,37.639397,127.0374397,76,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,N,N,1978,02-990-0040,2018-05-15,3090000,서울특별시 도봉구,
창동골목시장,상설장,서울특별시 도봉구 덕릉로58길 16,서울특별시 도봉구 창동 557-45,매일,37.638352,127.0391199,60,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,N,N,1970,02-900-4900,2018-05-15,3090000,서울특별시 도봉구,
신도봉시장,상설장,서울특별시 도봉구 도당로27길 60,서울특별시 도봉구 도봉동 611,매일,37.6700601,127.0412254,24,"농산물, 생필품, 수산물, 잡화 등",,,N,N,1974,02-954-0604,2018-05-15,3090000,서울특별시 도봉구,
쌍문시장,상설장,서울특별시 도봉구 도봉로113길 23,서울특별시 도봉구 쌍문동 98-35,매일,37.6481983,127.0328194,103,"농산물, 생필품, 수산물, 잡화 등",온누리상품권(일부점포),,N,N,1983,02-997-1255,2018-05-15,3090000,서울특별시 도봉구,
부곡시장,상설장,부산광역시 금정구 부곡로 107(부곡동),부산광역시 금정구 부곡동 304-1,매일,35.2256215,129.0914663,92,"횟집, 농산물, 제과, 꽃, 옷수선, 금은방, 약국, 배추, 식당",온누리상품권,http://economy.geumjeong.go.kr,N,N,1979,,2018-02-14,3350000,부산광역시 금정구,
구서오시게시장,상설장,부산광역시 금정구 구서로 12(구서동),부산광역시 금정구 구서동 87-9,매일,35.2473579,129.0897886,102,"농산물, 수산물, 활어회, 의류, 잡화, 슈퍼, 가구점",온누리상품권,http://economy.geumjeong.go.kr,N,Y,1981,,2018-02-14,3350000,부산광역시 금정구,
서동시장,상설장,부산광역시 금정구 서동로141번길 21(서동),부산광역시 금정구 서동 302,매일,35.2162892,129.1023514,34,"농산물, 식당, 절임배추, 자장면, 과일, 비닐, 슈퍼",온누리상품권,http://economy.geumjeong.go.kr,Y,N,1981,,2018-02-14,3350000,부산광역시 금정구,
서동향토시장,상설장,부산광역시 금정구 서부로 21-1(서동),부산광역시 금정구 서동 194-1,매일,35.2159347,129.103368,160,"횟집, 농산물, 떡, 배추, 식당, 비닐",온누리상품권,http://economy.geumjeong.go.kr,Y,N,1980,,2018-02-14,3350000,부산광역시 금정구,
금사제일상가시장,상설장,부산광역시 금정구 개좌로 81(금사동),부산광역시 금정구 금사동 68-14,매일,35.2203365,129.1125796,40,"식육식당, 채소, 과일, 생선 등",온누리상품권,http://economy.geumjeong.go.kr,N,N,1979,,2018-02-14,3350000,부산광역시 금정구,
장전상가시장,상설장,부산광역시 금정구 부산대학로49번길 13(장전동),부산광역시 금정구 장전동 421-7,매일,35.2339428,129.0793187,48,"식육점, 돼지국밥, 농산물, 식당, 생선, 야채, 중탕",온누리상품권,http://economy.geumjeong.go.kr,N,N,1974,,2018-02-14,3350000,부산광역시 금정구,
장성시장,상설장,부산광역시 금정구 수림로61번길 53(장전동),부산광역시 금정구 장전동 155-17,매일,35.2374994,129.0855873,28,"전자제품수리, 농산물, 생선, 이불, 탕제원, 잡화 등",온누리상품권,http://economy.geumjeong.go.kr,N,N,1978,,2018-02-14,3350000,부산광역시 금정구,
서동전통골목시장,상설장,부산광역시 금정구 서동로 145-12(서동),부산광역시 금정구 서동 339-1,매일,35.2155735,129.1023439,175,"횟집, 농산물, 떡, 배추, 식당, 비닐 등",온누리상품권,http://economy.geumjeong.go.kr,N,N,1968,,2018-02-14,3350000,부산광역시 금정구,
㈜중앙 메가프라자,상설장,대전광역시 동구 중앙로 200번길 99,대전광역시 동구 원동 42-1,매일,36.326879,127.433921,128,"한복,의류,침구,도서 등",온누리상품권,,Y,Y,1973,042-253-1550,2018-02-19,6300000,대전광역시,
신중앙,상설장,대전광역시 동구 중앙로 200번길 85,대전광역시 동구 원동 40-1,매일,36.327541,127.433653,131,"옷감,의류,도서,한복 등",온누리상품권,,Y,Y,1975,042-256-2157,2018-02-19,6300000,대전광역시,
중앙도매,상설장,대전광역시 동구 중앙로 200번길 99번지 일원,대전광역시 동구 원동 42-1,매일,36.326922,127.433911,128,"의류, 침구, 한복 등",온누리상품권,,Y,Y,1973,042-257-7093,2018-02-19,6300000,대전광역시,
중앙종합,상설장,대전광역시 동구 중앙로 200번길 45,대전광역시 동구 원동 56-1,매일,36.329051,127.432671,121,"의류, 신발, 커튼 등",온누리상품권,,Y,Y,1985,042-257-3713,2018-02-19,6300000,대전광역시,
자유도매,상설장,대전광역시 동구 중앙로 200번길 45,대전광역시 동구 원동 56-1,매일,36.329051,127.432671,103,"그릇, 이불, 한복, 의류 등",온누리상품권,,Y,Y,1981,042-221-0711,2018-02-19,6300000,대전광역시,
대전도매,상설장,대전광역시 동구 대전로 791번길 3,대전광역시 동구 중동 76-1,매일,36.330401,127.432882,125,"의류, 잡화, 가정 용품 등",온누리상품권,,Y,Y,1975,042-257-2410,2018-02-19,6300000,대전광역시,
중앙상가,상설장,대전광역시 동구 대전로 797번길 37,대전광역시 동구 중동 28-1,매일,36.330108,127.430938,443,"식당, 의류, 잡화 등",온누리상품권,,Y,Y,1962,042-256-0638,2018-02-19,6300000,대전광역시,
전통중앙도매,상설장,대전광역시 동구 중앙로 204번길 28-1,대전광역시 동구 중동 86-4,매일,36.329782,127.432416,120,"생선, 채소, 과일 등",온누리상품권,,Y,Y,2011,042-222-2989,2018-02-19,6300000,대전광역시,
대전상가,상설장,대전광역시 동구 충무로 185,대전광역시 동구 인동 52-1,매일,36.321909,127.436582,62,"쌀, 식당, 잡화 등",온누리상품권,,N,N,1973,042-284-6562,2018-02-19,6300000,대전광역시,
인동시장,상설장,대전광역시 동구 대전천동로 450,대전광역시 동구 인동 53-1,매일,36.322445,127.436273,61,"쌀, 식당 등",온누리상품권,,N,N,1973,042-282-1010,2018-02-19,6300000,대전광역시,
신도시장,상설장,대전광역시 동구 흥룡로 37번길 9,대전광역시 동구 가양동 39-11,매일,36.349309,127.447092,85,"채소, 생선, 건어물, 의류, 잡화 등",온누리상품권,,Y,Y,1982,042-622-7078,2018-02-19,6300000,대전광역시,
용운시장,상설장,대전광역시 동구 용운로 170,대전광역시 동구 용운동 305-6,매일,36.327831,127.461011,80,"식당, 채소, 잡화 등",온누리상품권,,Y,Y,1989,042-283-4698,2018-02-19,6300000,대전광역시,
가양시장,상설장,대전광역시 동구 매봉로 18,대전광역시 동구 가양동 434 가양시장,매일,36.346511,127.443218,15,"생·식품, 의류 등",온누리상품권,,Y,Y,1979,042-672-3783,2018-02-19,6300000,대전광역시,
역전시장 상점가,상설장,대전광역시 동구 역전시장길 48,대전광역시 동구 정동 1-227,매일,36.330135,127.434127,110,"의류, 휴대폰, 귀금속, 신발 등",온누리상품권,,N,N,1950,042-256-9915,2018-02-19,6300000,대전광역시,
홍도시장 상점가,상설장,대전광역시 동구 홍도로 9번길 20,대전광역시 동구 홍도동 71-2,매일,36.347151,127.429144,90,"생·식품, 의류 등",온누리상품권,,Y,Y,2016,042-672-8955,2018-02-19,6300000,대전광역시,
역전지하상점가,상설장,대전광역시 동구 대전로 797번길 41,대전광역시 동구 중동 28-53,매일,36.330033,127.430857,213,"생선, 채소, 과일 등",온누리상품권,,Y,Y,1980,042-221-3628,2018-02-19,6300000,대전광역시,
오류전통시장,상설장,대전광역시 중구 계백로 1691-10,대전광역시 중구 오류동 164-1,매일,36.321717,127.407813,61,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,N,N,1985,042-523-6780,2018-02-19,6300000,대전광역시,
태평전통시장,상설장,대전광역시 중구 수침로 55번길 56,대전광역시 중구 태평동 327-3,매일,36.325405,127.397651,142,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,http://www.taepyung-market.kr/,Y,Y,1980,042-525-4388,2018-02-19,6300000,대전광역시,
유천전통시장,상설장,대전광역시 중구 문화로 105번길 113,대전광역시 중구 유천동 303-10,매일,36.317214,127.395493,79,"채소, 과일, 식당, 정육 등",온누리상품권,,Y,Y,1982,042-584-1670,2018-02-19,6300000,대전광역시,
문창전통시장,상설장,대전광역시 중구 대전천 서로 279,대전광역시 중구 문창동 364-12,매일,36.315598,127.438317,269,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,Y,Y,1967,042-272-8903,2018-02-19,6300000,대전광역시,
산성전통시장,상설장,대전광역시 중구 대둔산로 408번길 28,대전광역시 중구 산성동 284-1,매일,36.306131,127.387105,75,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,Y,Y,1991,042-583-3128,2018-02-19,6300000,대전광역시,
용두전통시장,상설장,대전광역시 중구 계룡로 881번길 53,대전광역시 중구 용두동 12-2,매일,36.323396,127.414651,51,"채소, 과일, 식당, 잡화 등",온누리상품권,,N,N,1962,000-000-0000,2018-02-19,6300000,대전광역시,
부사전통시장,상설장,대전광역시 중구 대종로 316번길 16,대전광역시 중구 부사동 148-6,매일,36.314117,127.435381,72,"채소, 과일, 식당, 정육 등",온누리상품권,,Y,Y,1990,042-221-6664,2018-02-19,6300000,대전광역시,
중앙로지하상점가,상설장,대전광역시 중구 중앙로 지하 145,대전광역시 중구 은행동 216 중앙로역,매일,36.328666,127.425383,602,"의류, 휴대폰, 액세서리, 신발, 식음료(먹거리), 생활용품 등",온누리상품권,,Y,Y,1990,042-252-2064,2018-02-19,6300000,대전광역시,
은행동상점가,상설장,대전광역시 중구 중교로 83,대전광역시 중구 은행동 170-31,매일,36.327301,127.428506,297,"식당, 의류, 액세서리 등",온누리상품권,,Y,Y,1970,042-226-9100,2018-02-19,6300000,대전광역시,
문화예술의거리대흥동상점가,상설장,대전광역시 중구 중앙로 138번길 30,대전광역시 중구 대흥동 215,매일,36.327255,127.425287,61,"생필품, 요식업 등",온누리상품권,,Y,Y,1990,042-226-8252,2018-02-19,6300000,대전광역시,
오류특화상점가,상설장,대전광역시 중구 계룡로 874번길 12,대전광역시 중구 오류동 149-29,매일,36.323588,127.410468,61,요식업 등,온누리상품권,,Y,Y,1998,042-256-8106,2018-02-19,6300000,대전광역시,
중촌맞춤상점가,상설장,대전광역시 중구 동서대로 1421번길33,대전광역시 중구 중촌동 411-5,매일,36.336311,127.412516,50,"생필품, 의류 등",온누리상품권,,Y,Y,1998,042-257-2630,2018-02-19,6300000,대전광역시,
충무자동차상점가,상설장,대전광역시 중구 충무로 122-1,대전광역시 중구 대사동 69-46,매일,36.318798,127.430491,70,"서비스, 자동차용품 등",온누리상품권,,Y,Y,1999,042-256-7553,2018-02-19,6300000,대전광역시,
한민시장,상설장,대전광역시 서구 가장동94,대전광역시 서구 괴정동 88-6,매일,36.334685,127.384284,240,"생필품,농수산물 등",온누리상품권,,Y,Y,1982,042-522-9094,2018-02-19,6300000,대전광역시,
도마큰시장,상설장,대전광역시 서구 도마2길39,대전광역시 서구 도마동 134-40,매일,36.314918,127.381379,494,"생필품,의류,농수산물 등",온누리상품권,,Y,Y,1970,042-532-8883,2018-02-19,6300000,대전광역시,
가수원상점가,상설장,대전광역시 서구 벌곡로1369-22,대전광역시 서구 가수원동 768-10,매일,36.303417,127.352632,92,"생필품,가정용품 등",온누리상품권,,Y,Y,2007,042-541-1845,2018-02-19,6300000,대전광역시,
둔산3동상점가,상설장,대전광역시 서구 둔산로206,대전광역시 서구 둔산동 1814,매일,36.351267,127.396715,698,"생필품,요식업 등",온누리상품권,,Y,Y,1991,042-487-8439,2018-02-19,6300000,대전광역시,
유성시장,5일장,대전광역시 유성구 유성대로 730번길 24,대전광역시 유성구 장대동 191-7,5일,36.357719,127.333944,400,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,1916,042-822-2472,2018-02-19,6300000,대전광역시,
송강시장,상설장,대전광역시 유성구 구즉로 74-7,대전광역시 유성구 송강동 49-10,매일,36.435131,127.386659,88,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,2000,042-934-6863,2018-02-19,6300000,대전광역시,
송촌시장,상설장,대전광역시 대덕구 송촌동 476,대전광역시 대덕구 송촌동 476-1,매일,36.364478,127.439899,73,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,2000,042-626-5778,2018-02-19,6300000,대전광역시,
중리시장,상설장,대전광역시 대덕구 중리동 370,대전광역시 대덕구 중리동 368-7,매일,36.365316,127.425801,213,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,www.jungni-market.kr,Y,Y,1988,070-8732-1042,2018-02-19,6300000,대전광역시,
법동시장,상설장,대전광역시 대덕구 법동 199,대전광역시 대덕구 법2동 199,매일,36.367216,127.430958,62,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,1995,042-627-2123,2018-02-19,6300000,대전광역시,
신탄진시장,상설장,대전광역시 대덕구 석봉동 417,대전광역시 대덕구 석봉동 417,5일,36.448872,127.426263,122,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,2002,042-931-0310,2018-02-19,6300000,대전광역시,
오정동상점가,상설장,대전광역시 대덕구 오정동 86,대전광역시 대덕구 오정동 87-2,매일,36.354173,127.409122,720,공구·식당·철물 등,온누리상품권,,N,N,2005,042-672-0005,2018-02-19,6300000,대전광역시,
송촌동상점가,상설장,대전광역시 대덕구 계족산로 81번길 54,대전광역시 대덕구 송촌동 459-6,매일,36.365524,127.439031,870,"생필품, 요식업 등",온누리상품권,,Y,Y,2016,000-000-0000,2018-02-19,6300000,대전광역시,
구월시장,상설장,인천광역시 남동구 호구포로 790번길 21-13(구월동),인천광역시 남동구 구월동 1266-5,상설시장,37.4533703537,126.720268289,148,"농축수산물, 생활용품등",온누리상품권,guwolmarket.com,Y,Y,1980,032-469-2525,2018-08-17,3530000,인천광역시 남동구,
인천모래내전통시장,상설장,인천광역시 남동구 호구포로 810번길 42-8(구월동),인천광역시 남동구 구월동 1263-5,상설시장,37.4542021695,126.721490331,210,"농축수산물, 생활용품등",온누리상품권,www.imoraenae.com,Y,Y,1984,032-471-1427,2018-08-17,3530000,인천광역시 남동구,
구월도매전통시장,상설장,인천광역시 남동구 인하로 521번길 10-15(구월동),인천광역시 남동구 구월동 1176-14,상설시장,37.4436543321,126.705627454,72,"농축수산물, 생활용품 도매",온누리상품권,,N,Y,1992,032-202-8982,2018-08-17,3530000,인천광역시 남동구,
간석자유시장,상설장,인천광역시 남동구 백범로 312-1(간석동),인천광역시 남동구 간석동 41-1,상설시장,37.4638823809,126.715341504,138,"농축수산물, 생활용품등",온누리상품권,,Y,N,1970,,2018-08-17,3530000,인천광역시 남동구,
장승백이전통시장,상설장,인천광역시 남동구 담방서로23번길 35(만수동),인천광역시 남동구 만수동 1081-5,상설시장,37.4467820782,126.735897122,136,"농축수산물, 생활용품등",온누리상품권,,Y,N,1995,,2018-08-17,3530000,인천광역시 남동구,
만수시장,상설장,인천광역시 남동구 만수로27번길 10-11(만수동),인천광역시 남동구 만수동 868-26,상설시장,37.460050113,126.731785939,57,"농축수산물, 생활용품등",온누리상품권,,Y,N,1981,032-202-8982,2018-08-17,3530000,인천광역시 남동구,
남동산업용품상가,상설장,인천광역시 남동구 은청로 4-7(고잔동),인천광역시 남동구 고잔동 630,상설시장,37.4069447648,126.693400946,600,"공구류, 산업용품",온누리상품권,,Y,Y,1998,032-816-7131,2018-08-17,3530000,인천광역시 남동구,
구미새마을중앙시장,상설장,경상북도 구미시 구미중앙로9길11,경상북도 구미시 원평동 117-20,매일,36.130876,128.329865,185,"음식점, 식육점, 수산물, 의류 등",온누리상품권,http://www.saemaulsijang.com,Y,Y,1975,054-452-3611,2018-06-30,5080000,경상북도 구미시,
공단종합시장,상설장,경상북도 구미시 수출대로3길 107,경상북도 구미시 공단동 107,매일,36.120787,128.371404,94,"음식점, 식육점, 농산물, 의류, 잡화 등",온누리상품권,,Y,Y,1983,054-461-5999,2018-06-30,5080000,경상북도 구미시,
현대유통쇼핑센터,상설장,경상북도 구미시 구미중앙로 61-10,경상북도 구미시 원평동 119-2,매일,36.130232,128.330112,210,"음식점, 의류, 잡화, 한복 등",온누리상품권,http://www.saemaulsijang.com,Y,Y,1985,054-452-4729,2018-06-30,5080000,경상북도 구미시,
금오시장,상설장,경상북도 구미시 금오시장로 13,경상북도 구미시 원평동 1028-2,매일,36.125914,128.340514,258,"음식점, 부동산 임대 사무실 등",온누리상품권,,Y,Y,1985,054-456-7321,2018-06-30,5080000,경상북도 구미시,
인동시장,상설장+5일장,경상북도 구미시 인동중앙로5길 16-7,경상북도 구미시 황상동 307-42,매일+2일+7일,36.108417,128.421244,110,"농산물, 의류, 신발 등",온누리상품권,,Y,Y,1989,054-471-0477,2018-06-30,5080000,경상북도 구미시,
형곡시장프라자,상설장,경상북도 구미시 형곡서로 121,경상북도 구미시 형곡동 147-1,매일,36.112976,128.3342785,129,"의류, 잡화 등",온누리상품권,,Y,Y,1992,054-452-9662,2018-06-30,5080000,경상북도 구미시,
형곡중앙시장,상설장,경상북도 구미시 형곡로 186,경상북도 구미시 형곡동 321,매일,36.106402,128.336564,79,"음식점, 농산물, 의류 등",온누리상품권,,Y,Y,1993,054-456-3580,2018-06-30,5080000,경상북도 구미시,
구미파크시장,상설장,경상북도 구미시 송동로 162,경상북도 구미시 도량동 77,매일,36.147311,128.324302,30,"음식점, 베이커리",온누리상품권,,Y,Y,1994,054-442-7663,2018-06-30,5080000,경상북도 구미시,
구미산업유통단지,상설장,경상북도 구미시 3공단1로 302-7,경상북도 구미시 임수동 92-9,매일,36.109577,128.402941,728,공구류 및 산업용 자재,온누리상품권,,Y,Y,1995,054-473-4089,2018-06-30,5080000,경상북도 구미시,
선산봉황시장,상설장+5일장,경상북도 구미시 선산읍 단계동길 24,경상북도 구미시 선산읍 완전리 253,매일+2일+7일,36.239635,128.301069,314,"식육점, 농축수산물, 의류 등",온누리상품권,,Y,Y,1994,054-482-0213,2018-06-30,5080000,경상북도 구미시,
해평시장,5일장,경상북도 구미시 해평면 강동로 1629,경상북도 구미시 해평면 낙성리 138-17,4일+9일,36.1960095,128.392421,86,"농축산물, 의류, 정육 등",온누리상품권,,N,N,1959,054-474-4008,2018-06-30,5080000,경상북도 구미시,
장천시장,5일장,경상북도 구미시 장천면 상장5길 4,경상북도 구미시 장천면 상장리 918,5일+10일,36.125942,128.493426,64,"농축산물, 의류 등",온누리상품권,,Y,Y,1959,054-471-5070,2018-06-30,5080000,경상북도 구미시,
구미종합상가,상설장,경상북도 구미시 구미중앙로9길 14-6,경상북도 구미시 원평동 119-15,매일,36.130513,128.330435,50,"농축산물, 건어물 등",온누리상품권,http://www.saemaulsijang.com,Y,Y,1985,054-452-3611,2018-06-30,5080000,경상북도 구미시,
종합제일시장,상설장,경상북도 구미시 구미중앙로9길 7,경상북도 구미시 원평동 118-31,매일,36.130315,128.3296531,82,"음식점, 의류, 신발 등",온누리상품권,http://www.saemaulsijang.com,Y,Y,2006,054-456-9940,2018-06-30,5080000,경상북도 구미시,
제일시장상가,상설장,경상북도 구미시 1공단로 192,경상북도 구미시 공단동 264-18,매일,36.101642,128.384217,72,"음식점, 미용실 및 잡화",온누리상품권,,Y,Y,1988,054-462-1655,2018-06-30,5080000,경상북도 구미시,
신평전통시장,상설장,경상북도 구미시 칠성로 6길48,경상북도 구미시 신평동 150-4,매일,36.123187,128.361077,74,"음식점, 농수산물, 의류, 잡화 등",온누리상품권,,Y,N,2015,054-463-0053,2018-06-30,5080000,경상북도 구미시,
영덕시장,상설장,경상북도 영덕군 영덕읍 남석길 23-10,경상북도 영덕군 영덕읍 남석3리 26-50,"4일,+9일",36.406707,129.369522,90,"농수산물,의류,잡화,식료품 등",온누리상품권,,Y,Y,1965,,2018-02-28,5180000,경상북도 영덕군,
영해만세시장,상설장,경상북도 영덕군 영해면 예주시장4길 10,경상북도 영덕군 영해면 성내리 468-1,"5일,+10일",36.540517,129.407448,140,"농수산물,의류,잡화,식료품등",온누리상품권,,Y,Y,1965,,2018-02-28,5180000,경상북도 영덕군,
황룡시장,5일장,전라남도 장성군 황룡면 삼월길 5,전라남도 장성군 황룡면 월평리 151-1,"4일, 9일",35.2917141,126.7739178,419,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,N,Y,Y,1964,061-390-7353,2018-04-30,4980000,전라남도 장성군,
사창시장,5일장,전라남도 장성군 삼계면 사창로 81-2,전라남도 장성군 삼계면 사창리 482-44,"2일, 7일",35.2602878,126.6632184,34,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,N,Y,Y,1964,061-390-7353,2018-04-30,4980000,전라남도 장성군,
사가시장,5일장,전라남도 장성군 북이면 사남북길 20-4,전라남도 장성군 북이면 사거리 699,"1일, 6일",34.4276378,125.8072936,57,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,N,Y,Y,1964,061-390-7353,2018-04-30,4980000,전라남도 장성군,
서문시장,상설장,충청북도 청주시 상당구 남사로89번길 47(서문동),,매일,36.6344782762,127.485405015,73,"농축수산물, 잡화",온누리상품권,,Y, ,1964,043-256-4541,2018-08-09,5710000,충청북도 청주시,
중앙시장,상설장,충청북도 청주시 상당구 중앙로 26(북문로2가동),,매일,36.6393829419,127.489192862,62,"농축수산물, 잡화",온누리상품권,, , ,1979,043-256-7657,2018-08-09,5710000,충청북도 청주시,
사창시장,상설장,충청북도 청주시 서원구 창신로32번길 9-1(사창동),,매일,36.6339432813,127.465003044,103,"농축수산물, 잡화",온누리상품권,,Y,Y,1981,043-265-1354,2018-08-09,5710000,충청북도 청주시,
사직시장,상설장,충청북도 청주시 서원구 사직대로265번길 7(사직동),,매일,36.6361419919,127.476868455,56,"농축수산물, 잡화",온누리상품권,, ,Y,1981,043-263-3837,2018-08-09,5710000,충청북도 청주시,
두꺼비시장,상설장,충청북도 청주시 서원구 수곡로68번길 8-8(수곡동),,매일,36.6175702573,127.472658204,59,"농축수산물, 잡화",온누리상품권,,Y, ,1997,,2018-08-09,5710000,충청북도 청주시,
육거리종합시장,상설장,충청북도 청주시 상당구 청남로2197번길 42(석교동),,매일,36.6279391358,127.488185868,1202,"농축수산물, 잡화",온누리상품권,,Y,Y,1970,043-222-6696,2018-08-09,5710000,충청북도 청주시,
원마루시장,상설장,충청북도 청주시 서원구 원마루로8번길 21(분평동),,매일,36.6090318794,127.496409481,103,"농축수산물, 잡화",온누리상품권,,Y, ,1998,043-288-7372,2018-08-09,5710000,충청북도 청주시,
가경터미널시장,상설장,충청북도 청주시 흥덕구 풍산로47번길 10(가경동),,매일,36.6277182102,127.43545015,85,"농축수산물, 잡화",온누리상품권,,Y,Y,1994,043-232-1117,2018-08-09,5710000,충청북도 청주시,
복대가경시장,상설장,충청북도 청주시 흥덕구 신율로139번길 59-1(복대동),,매일,36.6298504214,127.443717771,77,"농축수산물, 잡화",온누리상품권,,Y,Y,1990,070-4319-5997,2018-08-09,5710000,충청북도 청주시,
직지시장,상설장,충청북도 청주시 흥덕구 직지대로639번길 88(봉명동),,매일,36.6465791353,127.466326999,60,"농축수산물, 잡화",온누리상품권,,Y,Y,1978,043-263-9289,2018-08-09,5710000,충청북도 청주시,
복대시장,상설장,충청북도 청주시 흥덕구 사직대로11번길 8(복대동),,매일,36.634679873,127.448691988,55,"농축수산물, 잡화",온누리상품권,, , ,1983,043-273-6092,2018-08-09,5710000,충청북도 청주시,
북부시장,상설장,충청북도 청주시 청원구 향군로31번길 19(우암동),,매일,36.6479738472,127.48621883,133,"농축수산물, 잡화",온누리상품권,,Y,Y,1970,043-224-8085,2018-08-09,5710000,충청북도 청주시,
내덕자연시장,상설장,충청북도 청주시 청원구 공항로58번길 14(내덕동),,매일,36.662414364,127.48864509,52,"농축수산물, 잡화",온누리상품권,,Y,Y,1985,043-214-4970,2018-08-09,5710000,충청북도 청주시,
내수시장,상설장+5일장,"충청북도 청주시 청원구 내수로 726 (내수읍, 마산리)",,"매일+오일장(5일, 10일)",36.7262656667,127.536007397,76,"농축수산물, 잡화",온누리상품권,, ,Y,1964,043-214-1999,2018-08-09,5710000,충청북도 청주시,
오창시장,상설장+5일장,"충청북도 청주시 청원구 오창시내5길 1(오창읍, 장대리)",,"매일+오일장(3일, 8일)",36.7419622314,127.455751531,71,"농축수산물, 잡화",온누리상품권,, ,Y,1964,043-216-2116,2018-08-09,5710000,충청북도 청주시,
중앙시장,상설장,강원도 원주시 중앙시장길 6,강원도 원주시 중앙동 62-55,매일,37.3499331,127.9492440,350,"의류,요식업,기타소비재 등",온누리상품권+강원상품권,,Y,N,1965,033-743-2570,2019-05-29,4190000,강원도 원주시,
자유시장,상설장,강원도 원주시 중앙시장길 11,강원도 원주시 중앙동 57,매일,37.3507413,127.9487040,430,"의류,음식점,통신기기, 잡화 등",온누리상품권+강원상품권,,Y,Y,1965,033-746-5037,2019-05-29,4190000,강원도 원주시,
