연번,업소명,영업자성명,소재지(지번),소재지전화번호,업태명,주취급음식
132,어진,조영정, 서초구 양재동 354 - 8 1층 ,02-571-1994,한식,해물탕
133,양모리 양대창,이방분, 서초구 방배동 875 - 20 1층 ,,한식,"양깃머리,양,대창"
134,엉터리생고기 사당역점,박철," 서초구 방배동 450 - 13 1층, 2층 ",02-583-2373,한식,고기류
135,갯마을해물칼국수,임이나," 서초구 반포동 978 반포상가 L동 1층 8호, 9호 ",02-591-0414,한식,칼국수
136,명동보리밥 방배점,박경순, 서초구 방배동 898 - 3 지상2층 201호 ,02-3471-3392,한식,보리밥정식
137,초선과여포,이종국, 서초구 서초동 1330 - 16 201호 ,02-525-9890,중국식,깐쇼새우
138,우리바다생태찌개,허영윤, 서초구 서초동 1564 - 12 1층 ,02-582-0128,한식,생태찌개
139,효종황태설렁탕,김수선, 서초구 서초동 1552 - 6 지상1층 ,02-3486-9994,한식,설렁탕
140,교대황금숯불구이,권세원," 서초구 서초동 1671 - 5 리시온상가 2층 210호,211호 ",,한식,꽃게찜
141,가조고향마을,오성석, 서초구 서초동 1552 - 16 1층 ,02-584-0199,한식,등심
142,한국교자,이현숙, 서초구 잠원동 18 - 1 1층 103호 ,02-514-5477,분식,칼국수
143,서초복집,노현숙, 서초구 서초동 1363 - 4 양재빌딩 2층 ,02-581-2362,한식,복지리
144,육감,이재혁," 서초구 방배동 475 - 29 지상1층,2층 ",02-584-8008,한식,생고기
145,미유끼,김광옥, 서초구 서초동 1540 - 11 보광빌딩 지하1층 ,02-532-3399,일식,광어회
146,감자꽃,남혜영, 서초구 서초동 1697 - 1 지하 1층 ,,한식,감자요리
147,이남장(서초점),신영주," 서초구 서초동 1715 - 1 1층,2층 ",02-592-0268,한식,설렁탕
148,신사참치,서정갑, 서초구 잠원동 29 - 1 지상1층 ,,일식,참치회
149,지현,오세인, 서초구 방배동 910 - 4 (지상1층) ,,한식,샤브샤브
150,마구로센,임순택, 서초구 잠원동 22 - 5 지상1층 ,02-517-5110,일식,회정식
151,구이삼국지,황경섭, 서초구 양재동 353 - 0 (지상1층) ,02-577-5592,한식,삼겹살
152,제주물항1950,유영희, 서초구 방배동 851 - 2 지상 1층 ,,한식,순대국
153,부산아지매국밥 서초역점,강현숙, 서초구 서초동 1544 - 2 1층 ,02-3471-6459,한식,전복회정식
154,포항죽도 어시장,황영희," 서초구 방배동 450 - 5 1층,2층 ",02-586-5246,한식,"생선회, 메운탕"
155,더구어,고석갑, 서초구 방배동 924 - 5 (지상1층) ,02-3474-9293,한식,삼겹살
156,바다소식,임종한, 서초구 방배동 450 - 8 지층 ,02-582-7581,한식,족발
157,방배골식당,송금자, 서초구 방배동 1022 - 2 (지상2층) ,02-588-5197,한식,한식
158,황제,시쟈옌, 서초구 반포동 105 - 1 (지상2층) ,02-536-8820,중국식,중국요리
159,지샹,임서정," 서초구 서초동 1685 - 3 아크로비스타상가지하1층A-114,A115,A116,A117호 ",02-3478-5885,중국식,중국요리코스
160,사조참치(사당역점),김정숙, 서초구 방배동 446 - 2 지하1층 ,02-523-6784,일식,참치회
161,(주)용수산에프앤씨,이성주, 서초구 서초동 1685 - 3 아크로비스타 지하1층 에이-112호,02-591-9674,한식,한정식
162,진대감,박재근, 서초구 잠원동 23 - 8 수인빌딩 지상1층 ,02-541-0717,한식,순대국
163,갈비사랑,이하수," 서초구 양재동 14 - 3 지층,지상2,3,4,5층 ",02-3463-6800,한식,돼지갈비
164,송이하랑,송성재," 서초구 방배동 866 - 6 지상1층,2층 ",02-599-4499,한식,삼겹살
165,늘봄웰봄,윤광석," 서초구 서초동 1685 - 3 아크로비스타지하1층지하A-105,A-106,A-107호 ",02-588-8804,한식,등심
166,천지항아리갈비,박준범, 서초구 방배동 895 - 16 지하1층 ,02-523 -7967,한식,돼지갈비
167,루안,곽태훈, 서초구 방배동 751 - 1 지하1층 ,02-533-6633,중국식,중식
168,(주)대흥정,강병옥, 서초구 서초동 1564 - 13 지상1층 ,02-587-5005,한식,등심
169,만다린,이봉환, 서초구 방배동 875 - 15 1층 ,,분식,짬뽕
170,백철판 강남역월드점,권기현, 서초구 서초동 1308 - 10 2층 202호 ,02-596-6982,한식,찜닭
171,웰니스로,양경수, 서초구 서초동 1685 - 8 센트럴프라자 지하1층동 112호,02-537-6114,뷔페식,스시샐러드뷔페
172,주식회사 맛있는이야기 노랑저고리,오현준, 서초구 서초동 1316 - 29 타임빌딩 601호 ,02-534-5300,한식,노랑정식
173,주식회사 서석대,안재홍, 서초구 서초동 1678 - 1 서초동동아빌라트 1타운 1층 101호일부 ,02-584-0990,한식,한식
174,브라운 치킨,김형철, 서초구 서초동 1327 - 29 서초파라곤 101호,02-3473-8181,통닭(치킨),한정식
175,명동칼국수 샤브샤브,진성원, 서초구 서초동 1549 - 12 1층 ,02-522-1866,한식,칼국수
176,서가앤쿡 교보타워점,이철우," 서초구 서초동 1302 - 38 2층,3층 ",,한식,"목살스테이크, 해물스파게티"
177,채석강,김정란, 서초구 서초동 1443 - 24 진양빌딩 1층 ,02-586-1134,한식,세꼬시
178,하노이의아침,최윤영, 서초구 반포동 90 - 1 가나빌딩 5층 ,02-599-5320,경양식,베트남쌀국수
179,하남돼지집 교대점,권선단, 서초구 서초동 1567 - 8 1층 ,,한식,고기류
180,양재시민의숲점 하남돼지집,강태민, 서초구 양재동 351 - 3 1층 ,02-522-3667,한식,곱창
181,삼성각,김현봉, 서초구 서초동 1330 - 18 2층 ,02-598-7779,중국식,전가복
182,마포집,안덕근, 서초구 서초동 1625 - 2 1층(101호 자리) ,02-582-1572,한식,갈비
183,만다린,유동의, 서초구 방배동 1020 - 2 대영빌딩1층 101호 ,02-581-3366,중국식,중국요리
184,채선당 샤브샤브,조영숙, 서초구 서초동 1336 우성상가 지하1층 B101호 ~ B107호 ,02-582-3883,분식,샤브샤브
185,팜스팜스,김종식, 서초구 서초동 1445 - 13 서초쌍용플래티넘상가 지하1층 B101∼B108호 ,02-3474-0041,뷔페식,뷔페
186,신선설농탕,오청, 서초구 서초동 1443 - 8 1층 ,02-3473-1155,한식,설렁탕
187,장병장 부대찌개,권이태, 서초구 서초동 1302 - 40 1층 ,01-0253-3747,한식,부대찌개
188,ELBA KITCHEN(엘바 키친),신용훈, 서초구 방배동 985 - 2 1층 ,,경양식,"스테이크, 파스타"
189,동수원갈비,김숙희," 서초구 서초동 1601 - 1 샤르망 지하1층 B01호~B04호, B05호일부 ",02-588-7060,한식,왕갈비
190,연와,김보라," 서초구 서초동 1366 - 1 1층,2층 ",02-598-8292,한식,돼지갈비
191,평양면옥,홍진권," 서초구 잠원동 29 - 23 1,2,3,4층 ",02-547-6947,한식,냉면
192,KOREAN TABLE(코리안 테이블),박현진, 서초구 방배동 813 - 8 1층 ,,한식,콩나물국밥
193,레드브릭(Redbrick),고우현, 서초구 반포동 72 - 8 1층 ,02-591-7878,경양식,피자
194,온담,이희석, 서초구 양재동 320 1층 ,02-5798-887,한식,칼국수
195,Jelly Belly(젤리밸리),이인학, 서초구 방배동 769 - 4 지하 1층 ,,경양식,"양,대창구이"
196,홍도참치,이미연," 서초구 서초동 1571 - 19 1층,2층 ",02-525-8727,일식,참치회
197,유다까 회전초밥전문점,이진규, 서초구 방배동 813 - 6 1층 ,02-537-7714,일식,초밥
198,구이마마,문광수, 서초구 양재동 114 1층 ,02-575-7449,한식,생삼겹
199,해늘 찹쌀순대,김동순," 서초구 양재동 289 - 8 1층,2층 ",02-573-1733,한식,찹쌀순대
200,한국회관,김경희," 서초구 반포동 107 - 45 가동 1층,2층 ",02-595-3355,한식,"한우,탕"
201,(주)후젠무이,최욱패, 서초구 서초동 1695 - 5 로펌에비뉴 B1전체 ,02-592-3319,중국식,중국요리
202,서래본가,서심순," 서초구 반포동 93 - 1 1층,2층,3층 ",02-3477-9192,한식,갈비탕
203,화로사랑,박정석, 서초구 서초동 1327 서초트라팰리스∥ 지비101 ,,한식,화로구이
204,차이나테이블,이명옥," 서초구 양재동 393 - 2 2,3층 ",02-577-1188,중국식,중국요리
205,바르미샤브샤브앤칼국수,이수영, 서초구 방배동 444 - 3 2층 202-2호,02-597-1155,뷔페식,
206,청송,이경희, 서초구 서초동 1696 - 11 2층 ,02-599-9017,일식,모듬회
207,홍천한우,이희춘," 서초구 서초동 1595 - 8 2층일부,3층일부 ",,한식,등심
208,평가옥,박민," 서초구 양재동 277 - 2 1층,2층 ",02-3462-1577,한식,
209,강남교자,신철호," 서초구 서초동 1308 ,1호 201,203,204호 ",02-532-2789,한식,칼국수
210,미타니야,이영덕," 서초구 서초동 1685 - 8 G-five Central Plaza 1층128~130호, 131호일부 ",02-535-6001,일식,"우동,돈까스"
211,약초마을,함순이, 서초구 양재동 353 - 5 1층 ,02-577-5551,한식,삼계탕
212,한성삼계탕,최금호," 서초구 잠원동 21 - 6 지층,1층 ",02-544-6779,한식,삼계탕
213,놀부부대찌게철판구이,김혜경, 서초구 양재동 276 - 1 1층 ,02-529-8230,한식,부대찌개
214,자산어보,윤용희, 서초구 서초동 1330 - 3 지하1층 101호 ,02-0581-3990,한식,매운탕
215,씨제이푸드빌(주)차이나팩토리 강남점,정문목, 서초구 서초동 1338 - 21 코리아비지니스센타 2층 ,02-587-1561,중국식,중국요리
216,강가,박찬만, 서초구 서초동 1320 - 10 삼성전자사옥 지하1층 ,02-2055-3610,경양식,인도요리
217,(주)소만옥,장정근, 서초구 서초동 1320 - 10 지하1층 ,02-587-9005,한식,갈비탕
218,하루,김덕규, 서초구 반포동 90 - 4 (2층) ,02-594 -5789,한식,고기
219,묘오또,김민수, 서초구 방배동 850 - 1 1층(104호?) ,,한식,"돈가스, 우동"
220,라비따,김현신, 서초구 서초동 1464 - 22 호경빌딩 지하1층 ,02-522-7475,경양식,
221,국수명가,유금순, 서초구 서초동 1588 - 13  ,,분식,국수
222,도우리,이정애, 서초구 서초동 1692 - 5 지하1 층 ,,한식,한정식
223,강남 따로국밥,조성희, 서초구 잠원동 19 - 10 외2필지 (1동 2층) ,,한식,국밥
224,시골보쌈&감자옹심이,김순금, 서초구 방배동 449 - 5 (1층) ,02-3473-7354,한식,보쌈
225,바다사랑,이영숙, 서초구 서초동 1622 - 19 1층 ,,한식,"동태탕, 간장게장"
226,피자헛 방배2호점,김진구, 서초구 방배동 851 - 6 태창빌딩 1층 가호,,패스트푸드,갈비
227,순흥골,박점희, 서초구 서초동 1531 - 8 1층 ,,한식,고기류
228,장강,권중백, 서초구 서초동 1431 - 14  ,,중국식,"자장면, 짬뽕 등"
229,정으로그리는밥상,고정아, 서초구 방배동 1021 - 14 파크애비뉴빌딩 ,,한식,한정식
230,봉평산골메밀촌,김태운, 서초구 서초동 1697 - 6  ,,한식,메밀국수
231,놀부보쌈과 부대찌개,최윤식, 서초구 반포동 58 - 7 2층(201~203) ,02-535-4747,한식,보쌈 및 족발류
232,아리솔,임영희, 서초구 서초동 1303 - 36  ,,한식,한정식
233,한촌설렁탕 교보타워점,조연수," 서초구 서초동 1303 - 10 1층 112호, 113호 ",02-534-5572,한식,설렁탕
234,(주)미가미,김상균, 서초구 서초동 1337 - 32 지하1층 ,02-522-6522,일식,한식
235,한우명가 노고단,이미옥, 서초구 서초동 1704 - 1 정곡빌딩 동관 지하15호 ,02-973-9792,한식,불고기
236,주문진,한경숙, 서초구 방배동 449 - 6 2층 ,02-3472-2233,일식,생선회
237,런앤포,이수현, 서초구 잠원동 26 - 15 2층 ,,중국식,중화요리
238,백년 한정식,최요섭, 서초구 서초동 1451 - 95 지하1층 ,02-6439-8900,한식,한정식
239,댓짱 돈가스,김대성," 서초구 방배동 755 - 14 리첸시아방배 101, 102, 106호 ",02-534-7009,한식,돈가스
240,수원본갈비1993,김동희, 서초구 서초동 1511 - 12  ,02-586-1293,한식,감자탕
241,방배본가면옥,송양숙, 서초구 방배동 1031 - 2 방배홈스텔 1층 102호,,한식,자장면
242,서리풀,김미숙, 서초구 반포동 65 - 2 은성빌딩 1층 ,,한식,삼겹살
243,민어사랑,박호자, 서초구 방배동 1001 - 9 1층 ,,한식,민어탕
244,경학갈비,정경학, 서초구 서초동 1562 - 1 (지상1층) ,,한식,돼지고기
245,든든한우家,이희춘," 서초구 서초동 1591 - 11 2,3층 ",02-586-4000,한식,등심
246,제주흑다돈 강남직영점,강새롬," 서초구 서초동 1308 - 15 1,2층 ",02-3482-2090,한식,삼겹살
247,서초 장어타운,황지윤," 서초구 서초동 1571 - 30 3층,4층 ",,한식,장어
248,주식회사 웰빙한마루,박노미, 서초구 방배동 905 - 10 1층 ,,한식,웰빙한식
249,엉터리생고기 교대역점,이상배, 서초구 서초동 1696 - 13 애니빌딩1층 ,,한식,삼겹살
250,장꼬방,김현수, 서초구 서초동 1316 1층 ,01-597-5511,한식,단팥죽
251,둥구나무 사당점,박정희, 서초구 방배동 445 - 4 8층 ,,한식,한정식
252,서초갈비,설원철, 서초구 서초동 1451 - 77 2층 ,,한식,등심
253,크래버 대게나라,김소영, 서초구 서초동 1582 - 16 1층 ,02-525-7997,한식,대게요리
254,제이스 포(J's Pho),김주호, 서초구 우면동 721 - 1 우면프라자 202호,,기타,월남국수요리
255,가문,노금숙, 서초구 반포동 90 - 10 2층 ,,한식,헛제사밥
256,효소원 순두부와 청국장 그리고 전,오경옥, 서초구 방배동 983 - 8 1층 ,02-521-6750,한식,청국장
257,만다린,차정숙, 서초구 서초동 1338 - 10 3층전체 ,,중국식,"해뭉짬뽕, 찹쌀탕수육"
258,서울만남의광장휴게소 한식당,최윤환, 서초구 원지동 10 - 16 서울만남의광장휴게소 한식당 ,02-578-3372,한식,"국밥, 찌개"
259,샤브샤브 진상,최윤선, 서초구 서초동 1337 - 3 강남역 푸르지오시티 지하1층 ,02-581-0092,한식,샤브샤브
260,"옛날전통육개장전문점 육대장, 한방보쌈",이진수,"서초구 서초대로50길 18, 1층",,한식,육개장
261,맷돌로만,박창훈,"서초구 반포동 1053-5, 6호, 1층",,한식,순두부
262,어랑 생성밥상,한석동,서초구 반포동 736,,한식,생선구이
263,육갑식당,장호철,서초구 반포동 93-2,,한식,와규 생등심
264,도쿄하나 사당점,이범택,서초구 방배동 444-3 3층,02-585-2020,일식,생선회
265,오리와 꽃게,유정숙,서초구 방배동 446-1,,한식,오리구이
266,왕배화로,김왕배,서초구 방배동 450-10,02-588-8736,한식,등심
267,삼육가 사당역 1호점,서재학,서초구 방배동 450-16,02-588-1043,한식,"묵은지갈비찜, 보쌈"
268,삼육가 사당역 2호점,서재학,서초구 방배동 450-16,02-582-0102,한식,훈제오리
269,황우촌 본가,임순규,서초구 방배동 450-25,02-586-5900,한식,등심
270,미방,강유진,서초구 방배동 777-20,02-533-3660,한식,숯불구이
271,육갑식당,민보람,서초구 방배동 777-5,02-596-9292,한식,등심
272,제주물항 1950,유영희,서초구 방배동 851-2,,한식,"갈치조림, 지리돔물회"
273,한촌설렁탕,김민수,서초구 방배동 874-8,,한식,설렁탕
274,건달요리,구현자,서초구 방배동 910-4,02-521-6999,한식,갈비탕
275,오장동 함흥냉면,이정순,서초구 서초동 1302-45,02-535-8460,면류,냉면
